Cell0:,Cell0:
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
489,340
500,350
493,344
500,350
493,344
500,350
496,348
500,350
500,351
500,350
502,355
500,350
509,367
500,350
509,367
500,350
513,370
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
500,350
